iter	RMSE
349	1679.804985
350	1679.552301
351	1679.268907
352	1679.137057
353	1678.790773
354	1677.694194
355	1677.081753
356	1676.982996
357	1676.397361
358	1675.842607
359	1675.310998
360	1673.801899
361	1673.201047
362	1673.149373
363	1672.928407
364	1672.208886
365	1672.098078
366	1671.838108
367	1671.558346
368	1671.426724
369	1671.060037
370	1670.882272
371	1670.754726
372	1670.315947
373	1670.162206
374	1670.051354
375	1669.590826
376	1669.300521
377	1668.523662
378	1667.814157
379	1667.457823
380	1666.515821
381	1665.701412
382	1665.402495
383	1664.59285
384	1663.737943
385	1662.880356
386	1662.612625
387	1662.106402
388	1661.648854
389	1661.509263
390	1661.177144
391	1660.929281
392	1660.462274
393	1660.110035
394	1659.641921
395	1659.105755
396	1659.100191
397	1658.274371
398	1658.008503
399	1657.671977
